"Kommun_code","Year","Kommun_name","Revenue","Index_market","Employee","Population","Population_University","Percent_University","CPI_index","Output","nation_Output","Productivity","AveOutput","AveEmployee","EmployeeIndex","SalesIndex","Infrast","Border","Laen_code","Patent"
1960,2011,"Kungsör",6,2,26,8086,593,0.0733366312144447,311.43,1.92659666698777,0.625833625330461,11.8401870414193,313.059736607348,500.228373702422,5.19762599781415,0.615408639854632,0,0,19,31
1960,2012,"Kungsör",6,3,26,8030,589,0.0733499377334994,314.2,1.90961171228517,0.622144281832325,11.8053973111104,312.277680008987,501.937716262976,5.17992554804908,0.611510791366907,0,0,19,32
1961,2001,"Hallstahammar",98,33,57,15052,577,0.0383337762423598,267.1,36.6903781355298,0.634960354278071,101.374966192154,229.66010682468,361.692041522491,15.7592629796516,15.9759475177545,0,0,19,94
1961,2002,"Hallstahammar",94,30,58,14986,603,0.0402375550513813,272.8,34.4574780058651,0.636571956102149,93.3271474940144,236.679215415682,371.80276816609,15.5996686861918,14.5587258033398,0,0,19,94
1961,2003,"Hallstahammar",95,29,55,15039,661,0.0439523904514928,278.1,34.1603739661992,0.62705343107484,99.0502049261924,241.45679592987,385.065743944637,14.2832752237518,14.1476133792983,0,0,19,94
1961,2004,"Hallstahammar",110,32,54,15038,730,0.0485436893203883,279.2,39.3982808022923,0.628162204448897,116.147992901792,255.45552790474,406.671280276817,13.2785378803349,15.4227552347131,0,0,19,95
1961,2005,"Hallstahammar",108,30,46,14955,797,0.0532932129722501,280.4,38.5164051355207,0.675913280515742,123.878784343625,272.266756832799,402.813148788927,11.4196868047383,14.1465691895591,0,0,19,80
1961,2006,"Hallstahammar",110,28,53,15042,859,0.0571067677170589,284.22,38.7024136232496,0.697889490517439,104.634649071041,292.125915423478,418.584775086505,12.6617123112151,13.2485382432247,0,0,19,63
1961,2007,"Hallstahammar",121,29,55,15040,902,0.0599734042553191,290.51,41.6508898144642,0.696518981133249,108.724805242983,308.23254510413,442.532871972318,12.4284552591249,13.5128137751947,0,0,19,75
1961,2008,"Hallstahammar",121,28,59,15014,927,0.0617423737844678,300.61,40.2514886397658,0.655862927670821,104.020000556487,302.904279176747,461.840830449827,12.7749640374011,13.2885176627956,0,0,19,86
1961,2009,"Hallstahammar",114,26,57,15127,973,0.0643220731142989,299.66,38.0431155309351,0.636977460813184,104.77970109618,309.593086697796,486.034602076125,11.7275600865702,12.2881024045832,0,0,19,65
1961,2010,"Hallstahammar",113,25,51,15175,1025,0.0675453047775947,303.46,37.237197653727,0.657543944256305,111.040659235489,319.814357911762,486.377162629758,10.4856896907437,11.6433789579894,0,0,19,48
1961,2011,"Hallstahammar",125,28,54,15224,1054,0.0692327903310562,311.43,40.1374305622451,0.625833625330461,118.767308285842,313.059736607348,500.228373702422,10.7950693800755,12.8210133303048,0,0,19,31
1961,2012,"Hallstahammar",128,28,55,15346,1088,0.0708979538641991,314.2,40.7383831954169,0.622144281832325,119.055643185986,312.277680008987,501.937716262976,10.9575348131808,13.0455635491607,0,0,19,32
1962,2001,"Norberg",18,15,18,5928,253,0.0426788124156545,267.1,6.73904904530138,0.634960354278071,58.9629905403347,229.66010682468,361.692041522491,4.97660936199524,2.93435770734266,0,0,19,94
1962,2002,"Norberg",22,18,22,5876,265,0.0450987066031314,272.8,8.06451612903226,0.636571956102149,57.5848356877961,236.679215415682,371.80276816609,5.91711570855553,3.40736135822847,0,0,19,94
